大項目,中項目,小項目,設問,設問様式,選択肢,配点
7環境Aガバナンス,7.環境に関する社員研修,A.環境に関する研修の有無,"(1)全従業員を対象とした環境教育を実施していますか
【注】eラーニング、集合教育を問いません。ただし単発の講演会ではなく、カリキュラムとして定まっているものに限ります。またEMSで義務付けられた短時間の全社員対象研修及び、新採用従業員のみを対象とした研修は除きます",複数,c.国外の事業所で実施している,-
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,"(1)スコープ1, 2について2050年までにネット・ゼロを実現するための方針を明文化し、公表していますか",択一,a.左記のような方針はない、もしくは不明,0
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,"(1)スコープ1, 2について2050年までにネット・ゼロを実現するための方針を明文化し、公表していますか",択一,b.明文化しているが、公表していない,1
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,"(1)スコープ1, 2について2050年までにネット・ゼロを実現するための方針を明文化し、公表していますか",択一,c.明文化し、公表している,2
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,(2)温室効果ガスの排出について、2030年までの削減目標は何％以上ですか,択一,"a.30%以上、もしくは不明
",0
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,(2)温室効果ガスの排出について、2030年までの削減目標は何％以上ですか,択一,b.40%以上,1
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,(2)温室効果ガスの排出について、2030年までの削減目標は何％以上ですか,択一,c.50%以上,2
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,(2)温室効果ガスの排出について、2030年までの削減目標は何％以上ですか,択一,d.60%以上,3
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,(3)上記(1)でbまたはcと回答した場合、ネット・ゼロ実現の目標達成時期はいつですか,択一,a.2046～2050年、もしくは不明,0
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,(3)上記(1)でbまたはcと回答した場合、ネット・ゼロ実現の目標達成時期はいつですか,択一,b.2041～2045年,2
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,(3)上記(1)でbまたはcと回答した場合、ネット・ゼロ実現の目標達成時期はいつですか,択一,c.2040年まで,4
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,(4)ネット・ゼロの目標策定にあたっては、スコープ3（サプライチェーンを通じて間接的に排出する部分）も対象としていますか,択一,a.対象としていない、もしくは不明,0
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,A.2050年までにネット・ゼロを実現するための方針,(4)ネット・ゼロの目標策定にあたっては、スコープ3（サプライチェーンを通じて間接的に排出する部分）も対象としていますか,択一,b.対象としている,3
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,B.温室効果ガスの削減目標におけるSBT承認,(1)温室効果ガスの削減目標はSBT（Science Based Targets）の認定を得ていますか,択一,a.得ていない、もしくは不明,0
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,B.温室効果ガスの削減目標におけるSBT承認,(1)温室効果ガスの削減目標はSBT（Science Based Targets）の認定を得ていますか,択一,b.得るための手続きを行っている,1
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,B.温室効果ガスの削減目標におけるSBT承認,(1)温室効果ガスの削減目標はSBT（Science Based Targets）の認定を得ていますか,択一,c.得ている,3
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,C.パリ協定への賛同,(1)パリ協定への賛同を公表していますか,択一,a.公表していない、もしくは不明,0
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,C.パリ協定への賛同,(1)パリ協定への賛同を公表していますか,択一,b.賛同を公表はしていないが、パリ協定の内容を参考にしている,1
7環境B気候変動,1.2050年ネット・ゼロに向けた温室効果ガス削減政策への取組み,C.パリ協定への賛同,(1)パリ協定への賛同を公表していますか,択一,c.公表している　,5
7環境B気候変動,2.再生可能エネルギーの推進,A.方針、指針,(1)電力を100%再生可能エネルギーに切り替える施策を策定し、導入目標年および導入割合を公表していますか,択一,a.左記のような施策はない、もしくは不明,0
7環境B気候変動,2.再生可能エネルギーの推進,A.方針、指針,(1)電力を100%再生可能エネルギーに切り替える施策を策定し、導入目標年および導入割合を公表していますか,択一,b.施策はあるが、導入目標年・導入割合を公表していない,1
7環境B気候変動,2.再生可能エネルギーの推進,A.方針、指針,(1)電力を100%再生可能エネルギーに切り替える施策を策定し、導入目標年および導入割合を公表していますか,択一,c.施策があり、導入目標年・導入割合を公表している　※導入目標年および導入割合もご記入ください,3
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,(1)再生可能エネルギーへのシフト状況を教えてください,択一,a.再生可能エネルギーの割合を増大させていない、もしくは不明,0
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,(1)再生可能エネルギーへのシフト状況を教えてください,択一,"b.一部の事業所で、再生可能エネルギーの割合を増大させた
※事業所名および購入先もご記入ください",2
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,(1)再生可能エネルギーへのシフト状況を教えてください,択一,"c.全社で、再生可能エネルギーの割合を増大させた
※購入先もご記入ください",5
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,"(2)上記(1)でb,またはcと回答した場合、お答えください。",複数,a.電気の調達先が下記のb～hのような考慮をしている電力会社かどうか不明,0
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,"(2)上記(1)でb,またはcと回答した場合、お答えください。",複数,b.「持続可能な再エネ社会への転換」という理念がある,1
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,"(2)上記(1)でb,またはcと回答した場合、お答えください。",複数,c. 電源構成などの情報開示を行っている,1
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,"(2)上記(1)でb,またはcと回答した場合、お答えください。",複数,d.再生可能エネルギーを中心として調達するという方針がある,1
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,"(2)上記(1)でb,またはcと回答した場合、お答えください。",複数,e.調達する再生可能エネルギーが持続可能であること＊を確認できる,1
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,"(2)上記(1)でb,またはcと回答した場合、お答えください。",複数,f.地域や市民によって 生産された電力であることを重視している,1
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,"(2)上記(1)でb,またはcと回答した場合、お答えください。",複数,g.原子力発電や石炭火力発電を行う発電所からは調達していない,1
7環境B気候変動,2.再生可能エネルギーの推進,B.電気の調達における再生可能エネルギーへのシフト（再エネの割合の高い電力事業者、または電力プランへの契約変更や自社発電等による、再エネの割合増加）,"(2)上記(1)でb,またはcと回答した場合、お答えください。",複数,h.大手電力会社と資本関係、提携がない,1
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(1)オンサイトPPAまたは（電力の使用場所と同一敷地内において）自社発電を実施していますか,択一,a.実施していない、もしくは不明,0
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(1)オンサイトPPAまたは（電力の使用場所と同一敷地内において）自社発電を実施していますか,択一,b.オンサイトPPAまたは自社発電のいずれかのみを実施している,1
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(1)オンサイトPPAまたは（電力の使用場所と同一敷地内において）自社発電を実施していますか,択一,c.オンサイトPPAおよび自社発電を実施している,1
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(2)上記(1)でb、またはcと回答した場合、使用電力の何％をまかなうことができていますか,択一,a.30%以下、もしくは不明,0
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(2)上記(1)でb、またはcと回答した場合、使用電力の何％をまかなうことができていますか,択一,b.31~50%,1
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(2)上記(1)でb、またはcと回答した場合、使用電力の何％をまかなうことができていますか,択一,c.51%~100%,2
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(3)オフサイトPPAまたは（電力の使用場所とは異なる場所において)自社発電を実施していますか（自然破壊や環境への悪影響がない設置場所に限る）,択一,a.実施していない、もしくは不明,0
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(3)オフサイトPPAまたは（電力の使用場所とは異なる場所において)自社発電を実施していますか（自然破壊や環境への悪影響がない設置場所に限る）,択一,b.オフサイトPPA＊または自社発電のいずれかのみを実施している,1
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(3)オフサイトPPAまたは（電力の使用場所とは異なる場所において)自社発電を実施していますか（自然破壊や環境への悪影響がない設置場所に限る）,択一,c.オフサイトPPAおよび自社発電を実施している,1
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(4)上記(3)でb、またはcと回答した場合、使用電力の何％をまかなうことができていますか,択一,a.30%以下、もしくは不明,0
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(4)上記(3)でb、またはcと回答した場合、使用電力の何％をまかなうことができていますか,択一,b.31~50%,1
7環境B気候変動,2.再生可能エネルギーの推進,C..自社発電およびオンサイトPPA・オフサイトPPA,(4)上記(3)でb、またはcと回答した場合、使用電力の何％をまかなうことができていますか,択一,c.51%~100%,2
7環境B気候変動,3.脱原子力と脱石炭火力,A.原子力,(1)脱原子力または原子力に依存しない方針等を公表していますか,択一,a.公表していない、もしくは不明,0
7環境B気候変動,3.脱原子力と脱石炭火力,A.原子力,(1)脱原子力または原子力に依存しない方針等を公表していますか,択一,b.公表している　,5
7環境B気候変動,3.脱原子力と脱石炭火力,B.石炭火力,(1)投資なども含め石炭火力発電所の新増設にはいかなる形であれ関わらないという方針等を公表していますか,択一,a.公表していない、もしくは不明,0
7環境B気候変動,3.脱原子力と脱石炭火力,B.石炭火力,(1)投資なども含め石炭火力発電所の新増設にはいかなる形であれ関わらないという方針等を公表していますか,択一,b.公表している　,5
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,a. 取組みを行っていない、もしくは不明,0
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,b.ZEB（ゼブ＝ネット・ゼロ・エネルギー・ビル）を導入している,5
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,c.EMS（エネルギー管理システム）やデマンドコントロールを導入している,2
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,d.空調温度について設定基準を定めている,2
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,e.空調機器は省エネ性能の高いもの（省エネラベル星4つ以上）にしている,2
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,f. 照明、看板、サインボード等について、 LED など高効率照明を導入している,2
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,g. 不要な照明器具を削減している,2
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,ｈ. 自社の業務に従事する者に、省エネルギー（空調や照明の調整など）についての指導を行っている,2
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,i.工場において、高効率給湯器を導入している,2
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,j.工場において、高効率ボイラを導入している,3
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,k.工場において、排熱を利用している,3
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,"l.その他の取り組み①　
※上記以外の省エネの取り組みを行っている場合、取組み内容をご記入ください",2
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,"m.その他の取り組み②　
※上記以外の省エネの取り組みを行っている場合、取組み内容をご記入ください",2
7環境B気候変動,4.社屋・工場・店舗等での取組み,A.社屋・工場・店舗等での省エネ対策,(1)社屋・工場・店舗等での省エネルギーのために、次のような取組みを行っていますか,複数,"n.その他の取り組み③　
※上記以外の省エネの取り組みを行っている場合、取組み内容をご記入ください",2
7環境B気候変動,5.気候変動緩和をリードするイニシアチブへの参加,A.TCFDへの賛同、気候変動イニシアチブ・RE100への参加,(1)右記に賛同または参加していますか,複数,a.TCFD（気候変動関連財務情報開示タスクフォース）に賛同している,2
7環境B気候変動,5.気候変動緩和をリードするイニシアチブへの参加,A.TCFDへの賛同、気候変動イニシアチブ・RE100への参加,(1)右記に賛同または参加していますか,複数,b.気候変動イニシアチブ（JCI）に参加している,2
7環境B気候変動,5.気候変動緩和をリードするイニシアチブへの参加,A.TCFDへの賛同、気候変動イニシアチブ・RE100への参加,(1)右記に賛同または参加していますか,複数,c.RE100に参加している,2
7環境B気候変動,6.気候変動適応策への取組み,A.適応策への取組み,(1)店舗、社屋または工場の所在地周辺地域において、気候変動による悪影響に備える、あるいは軽減するための次のような取組みを行っていますか,複数,a.取組みを行っていない、もしくは不明,0
7環境B気候変動,6.気候変動適応策への取組み,A.適応策への取組み,(1)店舗、社屋または工場の所在地周辺地域において、気候変動による悪影響に備える、あるいは軽減するための次のような取組みを行っていますか,複数,b.地域で過去に起きた影響（自然災害、健康被害など）を把握している,2
7環境B気候変動,6.気候変動適応策への取組み,A.適応策への取組み,(1)店舗、社屋または工場の所在地周辺地域において、気候変動による悪影響に備える、あるいは軽減するための次のような取組みを行っていますか,複数,c.地域の適応策についての学習や事例を知る研修会などを開催または参加している,2
7環境B気候変動,6.気候変動適応策への取組み,A.適応策への取組み,(1)店舗、社屋または工場の所在地周辺地域において、気候変動による悪影響に備える、あるいは軽減するための次のような取組みを行っていますか,複数,d.地域の行政や住民、団体と適応策について話し合っている,2
7環境B気候変動,6.気候変動適応策への取組み,A.適応策への取組み,(1)店舗、社屋または工場の所在地周辺地域において、気候変動による悪影響に備える、あるいは軽減するための次のような取組みを行っていますか,複数,e.自社へ将来的に起きる可能性のある具体的影響（集中豪雨・洪水・渇水・土砂災害、健康被害等）を把握検討している,2
7環境B気候変動,6.気候変動適応策への取組み,A.適応策への取組み,(1)店舗、社屋または工場の所在地周辺地域において、気候変動による悪影響に備える、あるいは軽減するための次のような取組みを行っていますか,複数,f.自社へ将来的+F25に起きる可能性のある具体的影響（集中豪雨・洪水・渇水・土砂災害、健康被害等）への対応策を実施している,3
7環境Cごみ削減,1.廃棄物削減の取組み,A.３Rの推進の位置づけ,(1)環境方針もしくは環境行動計画等において、省資源、廃棄物の削減を明記していますか,択一,a.明記していない、もしくは不明,0
7環境Cごみ削減,1.廃棄物削減の取組み,A.３Rの推進の位置づけ,(1)環境方針もしくは環境行動計画等において、省資源、廃棄物の削減を明記していますか,択一,b.3Rの優先順位は明記していないが、省資源、廃棄物削減について明記している,3
7環境Cごみ削減,1.廃棄物削減の取組み,A.３Rの推進の位置づけ,(1)環境方針もしくは環境行動計画等において、省資源、廃棄物の削減を明記していますか,択一,c.3Rの推進と、リデュース、リユース、リサイクルの優先順位を明記している,5
7環境Cごみ削減,1.廃棄物削減の取組み,B.廃棄物削減についての目標と実績の公表,"(1)企業全体もしくは組織単位として、廃棄物の削減目標を設定し目標と実績を公表している組織単位・拠点はありますか
【注】組織単位の例 ：国内生産拠点、海外生産拠点、国内本社・支社等事業所、研究機関、国内や海外の店舗等",択一,a.廃棄物量の実績の公表をしていない、もしくは不明,0
7環境Cごみ削減,1.廃棄物削減の取組み,B.廃棄物削減についての目標と実績の公表,"(1)企業全体もしくは組織単位として、廃棄物の削減目標を設定し目標と実績を公表している組織単位・拠点はありますか
【注】組織単位の例 ：国内生産拠点、海外生産拠点、国内本社・支社等事業所、研究機関、国内や海外の店舗等",択一,b.廃棄物量の実績を原単位で公表している組織単位あり,1
7環境Cごみ削減,1.廃棄物削減の取組み,B.廃棄物削減についての目標と実績の公表,"(1)企業全体もしくは組織単位として、廃棄物の削減目標を設定し目標と実績を公表している組織単位・拠点はありますか
【注】組織単位の例 ：国内生産拠点、海外生産拠点、国内本社・支社等事業所、研究機関、国内や海外の店舗等",択一,c.廃棄物量の実績を絶対量で公表している組織単位あり,2
7環境Cごみ削減,1.廃棄物削減の取組み,B.廃棄物削減についての目標と実績の公表,"(1)企業全体もしくは組織単位として、廃棄物の削減目標を設定し目標と実績を公表している組織単位・拠点はありますか
【注】組織単位の例 ：国内生産拠点、海外生産拠点、国内本社・支社等事業所、研究機関、国内や海外の店舗等",択一,d.廃棄物量の実績と中長期目標を絶対量で公表している組織単位あり,3
7環境Cごみ削減,1.廃棄物削減の取組み,B.廃棄物削減についての目標と実績の公表,"(1)企業全体もしくは組織単位として、廃棄物の削減目標を設定し目標と実績を公表している組織単位・拠点はありますか
【注】組織単位の例 ：国内生産拠点、海外生産拠点、国内本社・支社等事業所、研究機関、国内や海外の店舗等",択一,e.企業全体として、廃棄物量の中長期目標を設定し実績とともに公表している,5
7環境Cごみ削減,1.廃棄物削減の取組み,C.プラスチック容器包装の削減の方針,(1)プラスチック容器包装の削減方針、削減目標、具体的な削減計画がありますか ,択一,a.プラスチック容器包装の削減方針はない、もしくは不明,0
7環境Cごみ削減,1.廃棄物削減の取組み,C.プラスチック容器包装の削減の方針,(1)プラスチック容器包装の削減方針、削減目標、具体的な削減計画がありますか ,択一,b.プラスチック容器包装の削減方針、削減計画はないが、容器包装用プラスチック使用量の実績をHP等で公表している,1
7環境Cごみ削減,1.廃棄物削減の取組み,C.プラスチック容器包装の削減の方針,(1)プラスチック容器包装の削減方針、削減目標、具体的な削減計画がありますか,択一,c.プラスチック容器包装の削減方針、削減計画があり、容器包装用プラスチック使用量の実績をHP等で公表している,2
7環境Cごみ削減,1.廃棄物削減の取組み,C.プラスチック容器包装の削減の方針,(1)プラスチック容器包装の削減方針、削減目標、具体的な削減計画がありますか,択一,d.プラスチック容器包装の削減方針、削減計画があり、中長期目標と、容器包装用プラスチック使用量の実績をHP等で公表している,3
7環境Cごみ削減,1.廃棄物削減の取組み,D.食品廃棄物の削減の方針,(1)食品廃棄物の削減方針、削減目標、具体的な削減計画がありますか,択一,a.食品廃棄物の削減方針はない、もしくは不明,0
7環境Cごみ削減,1.廃棄物削減の取組み,D.食品廃棄物の削減の方針,(1)食品廃棄物の削減方針、削減目標、具体的な削減計画がありますか,択一,b.事業活動に伴い発生する食品廃棄物についての食品廃棄物の削減方針、あるいは、削減計画がある,1
7環境Cごみ削減,1.廃棄物削減の取組み,E.リサイクル率の実績の公表,"(1)商品や関連物品の処理・処分について、処分量に対するリサイクル率の目標を設定し、実績を公表していますか
【注】処分量＝廃棄物量＋リサイクル量",択一,a.リサイクル率の実績を公表していない、もしくは不明,0
7環境Cごみ削減,1.廃棄物削減の取組み,E.リサイクル率の実績の公表,"(1)商品や関連物品の処理・処分について、処分量に対するリサイクル率の目標を設定し、実績を公表していますか
【注】処分量＝廃棄物量＋リサイクル量",択一,b.リサイクル率の実績を公表している事業分野・組織単位と品目がある,1
7環境Cごみ削減,1.廃棄物削減の取組み,E.リサイクル率の実績の公表,"(1)商品や関連物品の処理・処分について、処分量に対するリサイクル率の目標を設定し、実績を公表していますか
【注】処分量＝廃棄物量＋リサイクル量",択一,c.企業全体としてリサイクル率の目標を設定し、実績とともに公表している品目がある,2
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"A.設計・原材料調達段階でのごみ削減の工夫　
",(1)製品の企画・設計の段階で、具体的なごみ削減の工夫や取組みがありますか,複数,a.ごみ削減の取組みはない、もしくは不明,0
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"A.設計・原材料調達段階でのごみ削減の工夫　
",(1)製品の企画・設計の段階で、具体的なごみ削減の工夫や取組みがありますか,複数,b.使い捨て品の削減に取り組んでいる,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"A.設計・原材料調達段階でのごみ削減の工夫　
",(1)製品の企画・設計の段階で、具体的なごみ削減の工夫や取組みがありますか,複数,c.容器包装の簡素化あるいは軽量化に取り組んでいる,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"A.設計・原材料調達段階でのごみ削減の工夫　
",(1)製品の企画・設計の段階で、具体的なごみ削減の工夫や取組みがありますか,複数,d.製品の素材について、環境配慮素材への切り替えに取り組んでいる,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"A.設計・原材料調達段階でのごみ削減の工夫　
",(1)製品の企画・設計の段階で、具体的なごみ削減の工夫や取組みがありますか,複数,e.製品の容器包装について、環境配慮素材への切り替えに取り組んでいる,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"A.設計・原材料調達段階でのごみ削減の工夫　
",(1)製品の企画・設計の段階で、具体的なごみ削減の工夫や取組みがありますか,複数,f.使用後に、容器包装(ハンガー等の付属品を含む)をリユースあるいはリサイクルしやすい製品の開発に取り組んでいる,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"A.設計・原材料調達段階でのごみ削減の工夫　
",(2)製品の原材料調達の段階で、具体的なごみ削減の工夫や取組みがありますか,複数,a.ごみ削減の取組みはない、もしくは不明,0
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"A.設計・原材料調達段階でのごみ削減の工夫　
",(2)製品の原材料調達の段階で、具体的なごみ削減の工夫や取組みがありますか,複数,b.製品の原材料や資材の調達において、サプライヤーと協力するなどの、ごみの削減や省資源化に繋がる具体的な取組みがある,2
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"B.製造段階でのごみ削減の工夫

",(1)製品の製造段階で、具体的なごみ削減の工夫や取組みがありますか,複数,a.ごみ削減の取組みはない、もしくは不明,0
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"B.製造段階でのごみ削減の工夫

",(1)製品の製造段階で、具体的なごみ削減の工夫や取組みがありますか,複数,b.製品の容器包装について、過剰包装削減に取り組んでいる,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"B.製造段階でのごみ削減の工夫

",(1)製品の製造段階で、具体的なごみ削減の工夫や取組みがありますか,複数,c.過剰生産を防ぐため、製造段階で在庫管理の工夫をして内容を公表している,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"B.製造段階でのごみ削減の工夫

",(1)製品の製造段階で、具体的なごみ削減の工夫や取組みがありますか,複数,d.衣類の製造段階で、残り生地や端切れの量を減らす取組みがあり、内容を公表している,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"B.製造段階でのごみ削減の工夫

",(1)製品の製造段階で、具体的なごみ削減の工夫や取組みがありますか,複数,e.衣類の製造段階で、残り生地や端切れを資源として再利用するなどのごみ削減の取組みがあり、内容を公表している,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,C.流通段階でのごみ削減の工夫,(1)製品の流通段階で、具体的なごみ削減の工夫や取組みがありますか,複数,a.ごみ削減の取組みはない、もしくは不明,0
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,C.流通段階でのごみ削減の工夫,(1)製品の流通段階で、具体的なごみ削減の工夫や取組みがありますか,複数,b.梱包材・配送用品の削減または軽量化に取り組んでいる,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,C.流通段階でのごみ削減の工夫,(1)製品の流通段階で、具体的なごみ削減の工夫や取組みがありますか,複数,c.梱包材・配送用品のリユース（再使用）に取り組んでいる,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,C.流通段階でのごみ削減の工夫,(1)製品の流通段階で、具体的なごみ削減の工夫や取組みがありますか,複数,d.梱包材・配送用品のリサイクル(再資源化)に取り組んでいる,1
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"Ⅾ.販売(納品)段階でのごみ削減の工夫

【注】販売事業者への納品段階を含む",(1)製品の販売(納品)段階で、具体的なごみ削減の工夫や取組みがありますか,複数,aごみ削減の取組みはない、もしくは不明,0
7環境Cごみ削減,2.各段階での廃棄物（ごみ）削減の工夫,"Ⅾ.販売(納品)段階でのごみ削減の工夫

【注】販売事業者への納品段階を含む",(1)製品の販売(納品)段階で、具体的なごみ削減の工夫や取組みがありますか,複数,b.製品消費後のごみ削減のために、簡易包装の利用を促す取り組みがある,1
